restaurant,city,menu_type,category,dish,price,description,tags
Baylings,Leeuwarden,Dinner,Dessert,Tarte Tatin van appel,"8,95",omgekeerd gebakken appeltaartje/karamel/boerenroom ijs,
Baylings,Leeuwarden,Dinner,Dessert,Dessert proeverij (2p),"21,95",proeverij van diverse nagerechten,
De Dikke van Dale,Leeuwarden,Lunch,Soepen,Mosterdsoep geserveerd met Friese droge worst en bosui,7.25,,
De Dikke van Dale,Leeuwarden,Lunch,Soepen,Pompoensoep,7.25,"geserveerd met crème fraîche, pompoenpitten en bosui",
De Dikke van Dale,Leeuwarden,Lunch,Salades,Salade beef teriyaki,17.50,"sla, biefstukpuntjes, rode ui, peultjes, cherrytomaat, sesamzaadjes en teriyakisaus",
De Dikke van Dale,Leeuwarden,Lunch,Salades,Caesar salade,17.25,"little gem, chicken dippers, Parmezaanse kaas, gekookt ei, croutons, bacon en caesardressing",
De Dikke van Dale,Leeuwarden,Lunch,Koude Broodjes,Broodje rundercarpaccio,15.25,"sla, basilicummayonaise, zongedroogde tomaat, Parmezaanse kaas en krokante tuinbonen",
De Dikke van Dale,Leeuwarden,Lunch,Koude Broodjes,Broodje zalm,16.75,"sla, gerookte zalm, rode ui, zeekraal, komkommer en wasabimayonaise",
De Dikke van Dale,Leeuwarden,Lunch,Koude Broodjes,Broodje gezond,15.50,"sla, tomaat, komkommer, ham, kaas, gekookt ei, radijs, trio van kiemen en kerriemayonaise",
De Dikke van Dale,Leeuwarden,Lunch,Koude Broodjes,Clubsandwich,14.75,"sla, tomaat, bacon, kipfilet, kaas, kerriemayonaise, gebakken ei met friet en mayonaise",
De Dikke van Dale,Leeuwarden,Lunch,Twaalfuurtjes,"Twaalfuurtje zalm – kopje soep naar keuze, broodje met een rundvleeskroket en een broodje gerookte zalm met wasabimayonaise",17.75,,
De Dikke van Dale,Leeuwarden,Lunch,Twaalfuurtjes,"Twaalfuurtje carpaccio – kopje soep naar keuze, broodje met een rundvleeskroket en een broodje carpaccio met basilicummayonaise en Parmezaanse kaas",17.00,,
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,De Dikke Burger,16.50,"little gem, tomaat, rode ui, augurk, bacon, ei, cheddar, BBQ-saus op een brioche bol",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Holtkamp kroketten,11.75,geserveerd op wit landbrood met mosterd,
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Broodje pastrami,14.75,"pastrami, Amsterdamse uitjes, coleslaw en vitellosaus",
